video_id,title,category,subcategory,region,channel_type,published_at,trending_date,views,likes,comments,shares,watch_time_minutes,subscriber_count,days_since_published,tag_count,ad_spend,title_length
YT00012,Walkthrough creator video 12: trending ideas,Gaming,Walkthrough,United Kingdom,Media Company,2025-09-24,2025-09-28,703422.0,61501.0,8382.0,2692.0,140066.26,3683387.0,4.0,8.0,15813.0,44
YT00013,Hip Hop creator video 13: trending ideas,Music,Hip Hop,United States,Individual,2025-01-07,2025-01-19,865363.0,101523.0,8877.0,7848.0,57814.85,3900530.0,12.0,6.0,2819.0,40
YT00014,Film & Animation creator video 14: trending ideas,Entertainment,Film & Animation,Canada,Individual,2025-02-23,2025-03-08,523003.0,41694.0,4532.0,3608.0,41965.9,2455555.0,13.0,14.0,7506.0,49
YT00015,Hip Hop creator video 15: trending ideas,Music,Hip Hop,United Kingdom,Brand,2025-05-09,2025-05-18,280616.0,22028.0,2184.0,607.0,24466.2,187995.0,9.0,17.0,1808.0,40
YT00016,Walkthrough creator video 16: trending ideas,Gaming,Walkthrough,Canada,Media Company,2025-08-27,2025-09-09,393041.0,29741.0,4328.0,795.0,105194.61,3405106.0,13.0,14.0,2755.0,44
YT00017,Pop creator video 17: trending ideas,Music,Pop,United Kingdom,Media Company,2025-01-14,2025-01-28,464930.0,19450.0,1632.0,1200.0,78780.97,241196.0,14.0,10.0,13723.0,36
YT00018,Esports creator video 18: trending ideas,Gaming,Esports,Australia,Educational,2025-05-27,2025-06-10,447750.0,49561.0,4489.0,4086.0,113106.84,2840778.0,14.0,6.0,14044.0,40
YT00019,Hip Hop creator video 19: trending ideas,Music,Hip Hop,Canada,Brand,2025-03-09,2025-03-10,781872.0,66887.0,11023.0,2317.0,120876.79,151913.0,1.0,14.0,9893.0,40
YT00020,Walkthrough creator video 20: trending ideas,Gaming,Walkthrough,United States,Media Company,2025-07-19,2025-08-02,387968.0,33210.0,2753.0,1021.0,87401.31,2347451.0,14.0,18.0,4909.0,44
YT00021,Technology creator video 21: trending ideas,Education,Technology,Australia,Media Company,2025-01-04,2025-01-09,168907.0,4249.0,487.0,163.0,32586.35,422334.0,5.0,11.0,1431.0,43
YT00022,Hip Hop creator video 22: trending ideas,Music,Hip Hop,India,Educational,2025-07-28,2025-08-09,188696.0,6194.0,519.0,512.0,39796.02,1000393.0,12.0,2.0,3025.0,40
YT00023,Hip Hop creator video 23: trending ideas,Music,Hip Hop,Australia,Individual,2025-08-08,2025-08-16,1093250.0,71354.0,11020.0,5364.0,125697.45,3566141.0,8.0,18.0,14693.0,40
YT00024,Pop creator video 24: trending ideas,Music,Pop,Australia,Individual,2025-06-20,2025-06-23,677925.0,48812.0,3098.0,775.0,47022.62,252653.0,3.0,10.0,14290.0,36
YT00025,Walkthrough creator video 25: trending ideas,Gaming,Walkthrough,United Kingdom,Media Company,2025-08-18,2025-08-30,567562.0,16897.0,2896.0,788.0,45660.98,1882888.0,12.0,14.0,11346.0,44
YT00026,Science creator video 26: trending ideas,Education,Science,Canada,Individual,2025-07-27,2025-08-08,545214.0,18915.0,1399.0,1239.0,93939.28,1507916.0,12.0,6.0,17936.0,40
YT00027,Comedy creator video 27: trending ideas,Entertainment,Comedy,Australia,Brand,2025-01-11,2025-01-18,693696.0,51538.0,8563.0,3731.0,53314.98,3652506.0,7.0,18.0,6538.0,39
YT00028,Walkthrough creator video 28: trending ideas,Gaming,Walkthrough,Australia,Media Company,2025-04-15,2025-04-28,537560.0,55171.0,7816.0,4626.0,141209.98,2026994.0,13.0,10.0,10046.0,44
YT00029,Science creator video 29: trending ideas,Education,Science,United Kingdom,Brand,2025-01-08,2025-01-15,348257.0,37478.0,4870.0,2982.0,57357.17,740297.0,7.0,17.0,13475.0,40
YT00030,Pop creator video 30: trending ideas,Music,Pop,Canada,Brand,2025-10-25,2025-11-05,544753.0,55591.0,7050.0,2272.0,50667.48,2601159.0,11.0,8.0,11724.0,36
YT00031,Hip Hop creator video 31: trending ideas,Music,Hip Hop,Australia,Brand,2025-10-09,2025-10-12,924671.0,110837.0,12916.0,4092.0,211527.92,1683006.0,3.0,10.0,16830.0,40
YT00032,Walkthrough creator video 32: trending ideas,Gaming,Walkthrough,Australia,Educational,2025-10-06,2025-10-12,178308.0,4902.0,622.0,439.0,36677.67,6738.0,6.0,14.0,2150.0,44
YT00033,Hip Hop creator video 33: trending ideas,Music,Hip Hop,Australia,Educational,2025-06-04,2025-06-07,107537.0,11641.0,745.0,536.0,14217.64,628400.0,3.0,4.0,907.0,40
YT00034,Walkthrough creator video 34: trending ideas,Gaming,Walkthrough,United Kingdom,Educational,2025-01-04,2025-01-09,736974.0,73062.0,11922.0,3452.0,48943.34,942005.0,5.0,15.0,12744.0,44
YT00035,Science creator video 35: trending ideas,Education,Science,Canada,Individual,2025-07-20,2025-07-25,302851.0,26776.0,1695.0,637.0,24708.92,3053280.0,5.0,9.0,2877.0,40
YT00036,Walkthrough creator video 36: trending ideas,Gaming,Walkthrough,United Kingdom,Individual,2025-03-27,2025-03-29,635706.0,18883.0,1881.0,937.0,140240.29,2395603.0,2.0,7.0,8817.0,44
YT00037,Comedy creator video 37: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-07-27,2025-07-28,455121.0,27807.0,2955.0,1830.0,106716.35,1753915.0,1.0,10.0,2788.0,39
YT00038,Walkthrough creator video 38: trending ideas,Gaming,Walkthrough,India,Brand,2025-06-28,2025-07-02,823192.0,64828.0,2683.0,4226.0,218897.78,3405428.0,4.0,5.0,1537.0,44
YT00039,Esports creator video 39: trending ideas,Gaming,Esports,United Kingdom,Brand,2025-09-29,2025-10-01,1326640.0,91589.0,5476.0,7038.0,141189.86,3975991.0,2.0,17.0,103.0,40
YT00040,Esports creator video 40: trending ideas,Gaming,Esports,Australia,Educational,2025-09-03,2025-09-10,462233.0,39028.0,2455.0,1300.0,105235.04,3308741.0,7.0,13.0,7823.0,40
YT00041,Science creator video 41: trending ideas,Education,Science,United Kingdom,Individual,2025-03-26,2025-03-31,558877.0,20482.0,2426.0,644.0,125548.36,3364687.0,5.0,13.0,1.0,40
YT00042,Esports creator video 42: trending ideas,Gaming,Esports,United Kingdom,Individual,2025-08-01,2025-08-06,523512.0,49286.0,3816.0,1523.0,27781.0,2375188.0,5.0,6.0,2666.0,40
YT00043,Esports creator video 43: trending ideas,Gaming,Esports,United Kingdom,Educational,2025-09-29,2025-10-01,364621.0,30137.0,2106.0,1296.0,44482.91,646532.0,2.0,2.0,7579.0,40
YT00044,Technology creator video 44: trending ideas,Education,Technology,United Kingdom,Brand,2025-07-27,2025-07-30,495452.0,41659.0,4935.0,2963.0,94015.06,3237912.0,3.0,3.0,17393.0,43
YT00045,Science creator video 45: trending ideas,Education,Science,India,Media Company,2025-08-30,2025-09-05,315806.0,22277.0,2946.0,1489.0,16677.42,2045103.0,6.0,6.0,16064.0,40
YT00046,Esports creator video 46: trending ideas,Gaming,Esports,Canada,Individual,2025-02-15,2025-02-28,648531.0,35554.0,5355.0,1309.0,115791.63,3160247.0,13.0,7.0,10962.0,40
YT00047,Hip Hop creator video 47: trending ideas,Music,Hip Hop,United Kingdom,Educational,2025-08-09,2025-08-13,398268.0,25712.0,2483.0,1528.0,83248.87,2121938.0,4.0,3.0,570.0,40
YT00048,Film & Animation creator video 48: trending ideas,Entertainment,Film & Animation,India,Educational,2025-02-14,2025-02-20,632797.0,52715.0,3662.0,4630.0,105693.26,2509898.0,6.0,13.0,6171.0,49
YT00049,Esports creator video 49: trending ideas,Gaming,Esports,India,Brand,2025-05-05,2025-05-12,341859.0,15238.0,1570.0,319.0,74698.96,2266907.0,7.0,12.0,1667.0,40
YT00050,Film & Animation creator video 50: trending ideas,Entertainment,Film & Animation,United States,Media Company,2025-04-25,2025-05-01,360720.0,20964.0,1647.0,794.0,96700.51,2647925.0,6.0,8.0,689.0,49
YT00051,Pop creator video 51: trending ideas,Music,Pop,United Kingdom,Media Company,2025-08-29,2025-09-10,636374.0,44004.0,4246.0,3049.0,153476.23,3237625.0,12.0,4.0,17048.0,36
YT00052,Technology creator video 52: trending ideas,Education,Technology,India,Brand,2025-10-07,2025-10-14,483651.0,55191.0,7870.0,3935.0,41939.02,449501.0,7.0,16.0,15905.0,43
YT00053,Esports creator video 53: trending ideas,Gaming,Esports,United Kingdom,Educational,2025-06-17,2025-06-28,492976.0,17104.0,2260.0,334.0,117911.18,2878700.0,11.0,14.0,1120.0,40
YT00054,Hip Hop creator video 54: trending ideas,Music,Hip Hop,United Kingdom,Individual,2025-03-14,2025-03-26,643306.0,34611.0,3744.0,2975.0,145135.06,2487997.0,12.0,5.0,17432.0,40
YT00055,Esports creator video 55: trending ideas,Gaming,Esports,United Kingdom,Media Company,2025-03-09,2025-03-21,235855.0,18741.0,1528.0,477.0,17835.83,280885.0,12.0,5.0,5481.0,40
YT00056,Walkthrough creator video 56: trending ideas,Gaming,Walkthrough,India,Individual,2025-03-29,2025-03-31,587960.0,38872.0,1901.0,708.0,163290.51,2638660.0,2.0,3.0,13442.0,44
YT00057,Comedy creator video 57: trending ideas,Entertainment,Comedy,Canada,Brand,2025-07-15,2025-07-29,478483.0,26431.0,3674.0,1455.0,112020.53,365008.0,14.0,15.0,12410.0,39
YT00058,Walkthrough creator video 58: trending ideas,Gaming,Walkthrough,Australia,Individual,2025-07-29,2025-08-12,434351.0,32546.0,3979.0,2348.0,66387.85,1082949.0,14.0,7.0,14512.0,44
YT00059,Esports creator video 59: trending ideas,Gaming,Esports,Canada,Individual,2025-05-20,2025-05-22,736230.0,22478.0,1140.0,402.0,55142.97,3315170.0,2.0,10.0,6224.0,40
YT00060,Technology creator video 60: trending ideas,Education,Technology,United Kingdom,Brand,2025-07-11,2025-07-17,359650.0,39885.0,3215.0,2995.0,59321.4,2108965.0,6.0,5.0,12018.0,43
YT00061,Esports creator video 61: trending ideas,Gaming,Esports,India,Educational,2025-02-19,2025-03-01,292155.0,14538.0,1050.0,900.0,78636.76,1512851.0,10.0,5.0,8061.0,40
YT00062,Walkthrough creator video 62: trending ideas,Gaming,Walkthrough,Canada,Individual,2025-04-26,2025-05-07,212520.0,21214.0,1873.0,320.0,43509.32,556930.0,11.0,18.0,6099.0,44
YT00063,Science creator video 63: trending ideas,Education,Science,India,Individual,2025-08-23,2025-08-26,718319.0,42726.0,2625.0,846.0,128165.25,3487615.0,3.0,17.0,14916.0,40
YT00064,Walkthrough creator video 64: trending ideas,Gaming,Walkthrough,United Kingdom,Educational,2025-05-01,2025-05-14,254744.0,22562.0,2892.0,665.0,39839.87,1385557.0,13.0,3.0,6890.0,44
YT00065,Walkthrough creator video 65: trending ideas,Gaming,Walkthrough,Canada,Media Company,2025-01-22,2025-01-27,776440.0,70376.0,11199.0,1846.0,159267.56,3270429.0,5.0,11.0,5973.0,44
YT00066,Comedy creator video 66: trending ideas,Entertainment,Comedy,United Kingdom,Educational,2025-07-17,2025-07-27,674127.0,17585.0,3012.0,1051.0,188257.32,3536636.0,10.0,4.0,15511.0,39
YT00067,Walkthrough creator video 67: trending ideas,Gaming,Walkthrough,India,Brand,2025-05-23,2025-05-29,409346.0,30576.0,3103.0,2334.0,51430.25,863088.0,6.0,7.0,9875.0,44
YT00068,Technology creator video 68: trending ideas,Education,Technology,Australia,Educational,2025-01-28,2025-02-01,427965.0,21885.0,872.0,1968.0,115924.09,1159868.0,4.0,8.0,11067.0,43
YT00069,Technology creator video 69: trending ideas,Education,Technology,United Kingdom,Educational,2025-09-23,2025-09-28,381539.0,19589.0,2798.0,506.0,29583.12,2718974.0,5.0,2.0,2031.0,43
YT00070,Technology creator video 70: trending ideas,Education,Technology,India,Media Company,2025-10-12,2025-10-16,459958.0,46871.0,6586.0,3482.0,24838.65,3267671.0,4.0,5.0,11843.0,43
YT00071,Hip Hop creator video 71: trending ideas,Music,Hip Hop,Australia,Individual,2025-08-18,2025-08-31,187926.0,8727.0,1248.0,747.0,47948.47,1094676.0,13.0,2.0,3161.0,40
YT00072,Hip Hop creator video 72: trending ideas,Music,Hip Hop,Australia,Educational,2025-05-27,2025-06-10,451224.0,17563.0,2082.0,340.0,97058.44,3532929.0,14.0,6.0,10742.0,40
YT00073,Hip Hop creator video 73: trending ideas,Music,Hip Hop,United Kingdom,Individual,2025-07-31,2025-08-05,411670.0,31989.0,5693.0,1829.0,19101.18,2657532.0,5.0,4.0,7439.0,40
YT00074,Hip Hop creator video 74: trending ideas,Music,Hip Hop,India,Educational,2025-09-07,2025-09-18,681777.0,54702.0,7502.0,2008.0,132790.39,2928533.0,11.0,8.0,9326.0,40
YT00075,Technology creator video 75: trending ideas,Education,Technology,India,Media Company,2025-07-21,2025-07-24,487712.0,32057.0,3915.0,1408.0,25308.02,1925271.0,3.0,11.0,11343.0,43
YT00076,Pop creator video 76: trending ideas,Music,Pop,Canada,Brand,2025-06-10,2025-06-22,497003.0,38363.0,5726.0,3451.0,69945.98,1275314.0,12.0,11.0,11764.0,36
YT00077,Esports creator video 77: trending ideas,Gaming,Esports,United Kingdom,Brand,2025-03-09,2025-03-17,496354.0,47068.0,3681.0,781.0,133645.95,1917166.0,8.0,2.0,11738.0,40
YT00078,Film & Animation creator video 78: trending ideas,Entertainment,Film & Animation,India,Individual,2025-04-26,2025-04-29,313127.0,18624.0,2796.0,688.0,59438.94,445128.0,3.0,4.0,10031.0,49
YT00079,Walkthrough creator video 79: trending ideas,Gaming,Walkthrough,Canada,Educational,2025-05-17,2025-05-19,291296.0,28950.0,991.0,2125.0,78981.5,963129.0,2.0,6.0,1072.0,44
YT00080,Walkthrough creator video 80: trending ideas,Gaming,Walkthrough,India,Media Company,2025-10-25,2025-11-02,409756.0,41919.0,7405.0,1742.0,62911.58,18178.0,8.0,18.0,10476.0,44
YT00081,Comedy creator video 81: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-01-05,2025-01-12,559421.0,64084.0,6447.0,3382.0,142720.37,3870747.0,7.0,14.0,7836.0,39
YT00082,Walkthrough creator video 82: trending ideas,Gaming,Walkthrough,United Kingdom,Educational,2025-02-05,2025-02-18,971187.0,42720.0,2088.0,1593.0,62826.71,3972078.0,13.0,7.0,14676.0,44
YT00083,Hip Hop creator video 83: trending ideas,Music,Hip Hop,India,Media Company,2025-08-30,2025-09-10,442614.0,40758.0,3185.0,2552.0,45979.12,2909636.0,11.0,9.0,12185.0,40
YT00084,Pop creator video 84: trending ideas,Music,Pop,India,Educational,2025-09-04,2025-09-17,474030.0,54673.0,7557.0,2162.0,89447.22,3375457.0,13.0,4.0,4701.0,36
YT00085,Science creator video 85: trending ideas,Education,Science,India,Media Company,2025-10-10,2025-10-20,406802.0,47144.0,6102.0,3261.0,75824.59,179575.0,10.0,18.0,15591.0,40
YT00086,Walkthrough creator video 86: trending ideas,Gaming,Walkthrough,Australia,Media Company,2025-05-31,2025-06-01,400645.0,10214.0,572.0,859.0,44544.56,2151954.0,1.0,12.0,1627.0,44
YT00087,Film & Animation creator video 87: trending ideas,Entertainment,Film & Animation,United Kingdom,Individual,2025-09-25,2025-09-26,628443.0,28394.0,2887.0,640.0,48491.08,449830.0,1.0,15.0,12246.0,49
YT00088,Science creator video 88: trending ideas,Education,Science,India,Educational,2025-04-20,2025-04-30,380186.0,32191.0,2856.0,1795.0,35793.53,2059577.0,10.0,10.0,5938.0,40
YT00089,Film & Animation creator video 89: trending ideas,Entertainment,Film & Animation,Australia,Educational,2025-03-06,2025-03-10,908959.0,28976.0,1072.0,1375.0,137798.25,2758986.0,4.0,12.0,17643.0,49
YT00090,Science creator video 90: trending ideas,Education,Science,India,Media Company,2025-09-13,2025-09-26,382812.0,22554.0,3489.0,1984.0,104970.5,746860.0,13.0,17.0,14628.0,40
YT00091,Esports creator video 91: trending ideas,Gaming,Esports,India,Individual,2025-07-08,2025-07-18,513617.0,28454.0,1483.0,1496.0,132864.7,3322699.0,10.0,17.0,101.0,40
YT00092,Comedy creator video 92: trending ideas,Entertainment,Comedy,United Kingdom,Educational,2025-04-07,2025-04-13,215835.0,22872.0,2832.0,1490.0,14588.13,605014.0,6.0,4.0,5522.0,39
YT00093,Pop creator video 93: trending ideas,Music,Pop,United States,Educational,2025-07-31,2025-08-14,595176.0,31612.0,3680.0,1690.0,148022.61,1399087.0,14.0,11.0,10733.0,36
YT00094,Esports creator video 94: trending ideas,Gaming,Esports,India,Educational,2025-05-28,2025-06-05,221968.0,10062.0,1182.0,796.0,49098.74,553897.0,8.0,13.0,6082.0,40
YT00095,Science creator video 95: trending ideas,Education,Science,Canada,Educational,2025-08-07,2025-08-16,166282.0,15749.0,1399.0,983.0,46482.9,67491.0,9.0,18.0,288.0,40
YT00096,Film & Animation creator video 96: trending ideas,Entertainment,Film & Animation,United Kingdom,Media Company,2025-03-23,2025-04-06,610399.0,45149.0,6143.0,2828.0,73276.89,3147033.0,14.0,3.0,15220.0,49
YT00097,Pop creator video 97: trending ideas,Music,Pop,Canada,Media Company,2025-08-15,2025-08-29,334713.0,37818.0,2262.0,2458.0,26889.08,1266897.0,14.0,10.0,12665.0,36
YT00098,Science creator video 98: trending ideas,Education,Science,India,Individual,2025-07-12,2025-07-17,306381.0,33604.0,2459.0,2060.0,13258.91,30852.0,5.0,10.0,12988.0,40
YT00099,Technology creator video 99: trending ideas,Education,Technology,Australia,Brand,2025-02-12,2025-02-13,294914.0,28814.0,1314.0,1402.0,61644.36,1100400.0,1.0,13.0,5020.0,43
YT00100,Science creator video 100: trending ideas,Education,Science,Canada,Brand,2025-02-04,2025-02-18,249243.0,20248.0,2585.0,1045.0,22885.23,1295059.0,14.0,12.0,1913.0,41
YT00101,Science creator video 101: trending ideas,Education,Science,Australia,Individual,2025-01-09,2025-01-11,579920.0,56228.0,3361.0,2198.0,96201.72,918752.0,2.0,11.0,16635.0,41
YT00102,Technology creator video 102: trending ideas,Education,Technology,United Kingdom,Media Company,2025-04-15,2025-04-19,382942.0,14071.0,799.0,1160.0,20459.26,1906805.0,4.0,7.0,15721.0,44
YT00103,Comedy creator video 103: trending ideas,Entertainment,Comedy,Canada,Brand,2025-10-24,2025-10-31,856668.0,44470.0,2175.0,820.0,37138.42,3276304.0,7.0,5.0,15133.0,40
YT00104,Pop creator video 104: trending ideas,Music,Pop,United Kingdom,Individual,2025-07-02,2025-07-09,1167232.0,96027.0,16657.0,4632.0,196263.46,2268246.0,7.0,11.0,16558.0,37
YT00105,Film & Animation creator video 105: trending ideas,Entertainment,Film & Animation,Australia,Educational,2025-10-22,2025-10-25,906552.0,68953.0,6899.0,1365.0,118064.64,1955995.0,3.0,15.0,17040.0,50
YT00106,Science creator video 106: trending ideas,Education,Science,United States,Brand,2025-08-21,2025-08-30,332887.0,35053.0,3738.0,2533.0,21371.68,3435195.0,9.0,10.0,7706.0,41
YT00107,Film & Animation creator video 107: trending ideas,Entertainment,Film & Animation,Australia,Brand,2025-09-03,2025-09-06,1113068.0,31242.0,5620.0,1725.0,115236.44,3719440.0,3.0,12.0,14435.0,50
YT00108,Technology creator video 108: trending ideas,Education,Technology,Australia,Individual,2025-03-02,2025-03-08,394104.0,43444.0,7471.0,972.0,62221.04,2081987.0,6.0,5.0,13194.0,44
YT00109,Science creator video 109: trending ideas,Education,Science,United States,Individual,2025-06-29,2025-07-13,333753.0,11313.0,561.0,1008.0,75530.64,3679010.0,14.0,5.0,9439.0,41
YT00110,Film & Animation creator video 110: trending ideas,Entertainment,Film & Animation,Australia,Brand,2025-09-08,2025-09-22,575527.0,21511.0,1520.0,668.0,90590.96,3631433.0,14.0,2.0,9054.0,50
YT00111,Pop creator video 111: trending ideas,Music,Pop,United States,Media Company,2025-04-27,2025-04-29,569879.0,66739.0,5995.0,2584.0,133076.59,838567.0,2.0,12.0,9069.0,37
YT00112,Walkthrough creator video 112: trending ideas,Gaming,Walkthrough,India,Media Company,2025-07-29,2025-08-10,350077.0,30392.0,1263.0,2147.0,90131.96,1226109.0,12.0,5.0,8288.0,45
YT00113,Hip Hop creator video 113: trending ideas,Music,Hip Hop,Australia,Educational,2025-09-14,2025-09-20,906431.0,59274.0,4915.0,1568.0,194414.48,3391791.0,6.0,3.0,14848.0,41
YT00114,Pop creator video 114: trending ideas,Music,Pop,Canada,Media Company,2025-10-06,2025-10-11,693691.0,47014.0,3443.0,3374.0,75702.51,1671056.0,5.0,10.0,6993.0,37
YT00115,Technology creator video 115: trending ideas,Education,Technology,India,Individual,2025-05-23,2025-05-27,540438.0,23853.0,3982.0,1518.0,46136.15,3959363.0,4.0,18.0,16089.0,44
YT00116,Film & Animation creator video 116: trending ideas,Entertainment,Film & Animation,Australia,Media Company,2025-10-01,2025-10-12,131312.0,4480.0,805.0,279.0,7613.21,695479.0,11.0,7.0,110.0,50
YT00117,Technology creator video 117: trending ideas,Education,Technology,United States,Individual,2025-02-11,2025-02-14,122674.0,3993.0,247.0,309.0,33708.0,955276.0,3.0,11.0,1123.0,44
YT00118,Comedy creator video 118: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-05-07,2025-05-13,200503.0,12863.0,1335.0,1030.0,53935.15,755712.0,6.0,4.0,4495.0,40
YT00119,Science creator video 119: trending ideas,Education,Science,United Kingdom,Educational,2025-08-29,2025-09-02,442456.0,13645.0,529.0,1160.0,50876.56,2783078.0,4.0,18.0,5902.0,41
YT00120,Walkthrough creator video 120: trending ideas,Gaming,Walkthrough,Canada,Media Company,2025-08-28,2025-09-01,307052.0,33284.0,3693.0,799.0,20474.01,709845.0,4.0,7.0,4964.0,45
YT00121,Pop creator video 121: trending ideas,Music,Pop,United Kingdom,Individual,2025-03-13,2025-03-23,893634.0,88972.0,4836.0,5502.0,89479.49,2702505.0,10.0,15.0,13869.0,37
YT00122,Science creator video 122: trending ideas,Education,Science,United States,Individual,2025-02-04,2025-02-16,371352.0,10846.0,1319.0,641.0,62418.07,808827.0,12.0,10.0,14767.0,41
YT00123,Technology creator video 123: trending ideas,Education,Technology,Canada,Individual,2025-10-07,2025-10-09,520718.0,55234.0,7312.0,3180.0,127491.63,1070986.0,2.0,8.0,16272.0,44
YT00124,Science creator video 124: trending ideas,Education,Science,Australia,Brand,2025-06-07,2025-06-09,573903.0,33834.0,2283.0,1539.0,155499.18,508797.0,2.0,16.0,15793.0,41
YT00125,Science creator video 125: trending ideas,Education,Science,Australia,Brand,2025-04-09,2025-04-11,356421.0,39828.0,2891.0,2607.0,59113.01,2486444.0,2.0,4.0,6670.0,41
YT00126,Walkthrough creator video 126: trending ideas,Gaming,Walkthrough,United States,Brand,2025-08-02,2025-08-11,184471.0,15199.0,1756.0,1012.0,18186.84,348342.0,9.0,17.0,1043.0,45
YT00127,Pop creator video 127: trending ideas,Music,Pop,India,Educational,2025-05-10,2025-05-11,888481.0,42236.0,6061.0,2964.0,185258.4,3188641.0,1.0,18.0,13952.0,37
YT00128,Technology creator video 128: trending ideas,Education,Technology,United States,Educational,2025-07-31,2025-08-08,382602.0,17263.0,2448.0,1417.0,56460.17,572965.0,8.0,15.0,13801.0,44
YT00129,Pop creator video 129: trending ideas,Music,Pop,United Kingdom,Individual,2025-03-13,2025-03-19,688984.0,22349.0,3455.0,616.0,133595.06,2085766.0,6.0,5.0,4166.0,37
YT00130,Comedy creator video 130: trending ideas,Entertainment,Comedy,India,Media Company,2025-05-10,2025-05-24,796893.0,31121.0,2259.0,615.0,51688.9,1724979.0,14.0,10.0,14706.0,40
YT00131,Esports creator video 131: trending ideas,Gaming,Esports,India,Brand,2025-02-28,2025-03-05,582230.0,52007.0,2135.0,2501.0,134776.4,626134.0,5.0,9.0,15894.0,41
YT00132,Walkthrough creator video 132: trending ideas,Gaming,Walkthrough,United States,Educational,2025-06-01,2025-06-15,547612.0,15301.0,1945.0,901.0,44116.46,1469001.0,14.0,14.0,10584.0,45
YT00133,Film & Animation creator video 133: trending ideas,Entertainment,Film & Animation,India,Educational,2025-07-04,2025-07-18,188858.0,21531.0,2560.0,1195.0,49241.25,475710.0,14.0,5.0,2417.0,50
YT00134,Science creator video 134: trending ideas,Education,Science,Canada,Educational,2025-07-27,2025-08-10,254423.0,15437.0,2255.0,329.0,52691.07,3746707.0,14.0,6.0,4738.0,41
YT00135,Technology creator video 135: trending ideas,Education,Technology,United States,Individual,2025-05-12,2025-05-20,299358.0,27377.0,2991.0,1592.0,79158.4,1499951.0,8.0,17.0,6001.0,44
YT00136,Science creator video 136: trending ideas,Education,Science,Canada,Individual,2025-06-01,2025-06-02,686633.0,61056.0,3066.0,1184.0,163163.41,3588159.0,1.0,16.0,573.0,41
YT00137,Technology creator video 137: trending ideas,Education,Technology,United Kingdom,Individual,2025-02-04,2025-02-11,103635.0,12104.0,414.0,287.0,19387.18,26049.0,7.0,7.0,4819.0,44
YT00138,Comedy creator video 138: trending ideas,Entertainment,Comedy,United States,Brand,2025-05-13,2025-05-20,980166.0,82031.0,13693.0,5075.0,171102.08,3546095.0,7.0,15.0,14641.0,40
YT00139,Comedy creator video 139: trending ideas,Entertainment,Comedy,India,Media Company,2025-10-24,2025-11-04,497825.0,28756.0,2769.0,2486.0,28336.72,1468594.0,11.0,14.0,10835.0,40
YT00140,Comedy creator video 140: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-01-19,2025-01-31,643480.0,69707.0,10054.0,2841.0,174490.95,2196403.0,12.0,11.0,15197.0,40
