trend_fact_key,video_id,date_key,geography_key,channel_key,subcategory_key,views,likes,comments,shares,watch_time_minutes,subscriber_count,days_since_published,tag_count,ad_spend,title_length,popularity_score
26,YT00025,237,4,4,8,567562,16897,2896,788,45660.98,1882888,12,14,11346.0,44,26.1547
27,YT00026,215,2,3,6,545214,18915,1399,1239,93939.28,1507916,12,6,17936.0,40,26.4924
28,YT00027,15,1,1,1,693696,51538,8563,3731,53314.98,3652506,7,18,6538.0,39,40.9543
29,YT00028,113,1,4,8,537560,55171,7816,4626,141209.98,2026994,13,10,10046.0,44,40.8399
30,YT00029,12,4,1,6,348257,37478,4870,2982,57357.17,740297,7,17,13475.0,40,33.4792
31,YT00030,304,2,1,5,544753,55591,7050,2272,50667.48,2601159,11,8,11724.0,36,40.0105
32,YT00031,280,1,1,4,924671,110837,12916,4092,211527.92,1683006,3,10,16830.0,40,54.8251
33,YT00032,280,1,2,8,178308,4902,622,439,36677.67,6738,6,14,2150.0,44,10.8539
34,YT00033,153,1,2,4,107537,11641,745,536,14217.64,628400,3,4,907.0,40,23.2383
35,YT00034,6,4,2,8,736974,73062,11922,3452,48943.34,942005,5,15,12744.0,44,47.4297
36,YT00035,201,2,3,6,302851,26776,1695,637,24708.92,3053280,5,9,2877.0,40,27.784
37,YT00036,84,4,3,8,635706,18883,1881,937,140240.29,2395603,2,7,8817.0,44,28.8085
38,YT00037,204,4,3,1,455121,27807,2955,1830,106716.35,1753915,1,10,2788.0,39,28.7125
39,YT00038,178,3,1,8,823192,64828,2683,4226,218897.78,3405428,4,5,1537.0,44,46.8125
40,YT00039,269,4,1,2,1326640,91589,5476,7038,141189.86,3975991,2,17,103.0,40,64.4598
41,YT00040,248,1,2,2,462233,39028,2455,1300,105235.04,3308741,7,13,7823.0,40,33.3537
42,YT00041,86,4,3,6,558877,20482,2426,644,125548.36,3364687,5,13,1.0,40,27.134
43,YT00042,213,4,3,2,523512,49286,3816,1523,27781.0,2375188,5,6,2666.0,40,37.6994
44,YT00043,269,4,2,2,364621,30137,2106,1296,44482.91,646532,2,2,7579.0,40,29.3931
45,YT00044,206,4,1,7,495452,41659,4935,2963,94015.06,3237912,3,3,17393.0,43,35.3653
46,YT00045,243,3,4,6,315806,22277,2946,1489,16677.42,2045103,6,6,16064.0,40,25.3653
47,YT00046,56,2,3,2,648531,35554,5355,1309,115791.63,3160247,13,7,10962.0,40,34.4662
48,YT00047,220,4,2,4,398268,25712,2483,1528,83248.87,2121938,4,3,570.0,40,27.1514
49,YT00048,48,3,2,3,632797,52715,3662,4630,105693.26,2509898,6,13,6171.0,49,40.8764
50,YT00049,127,3,1,2,341859,15238,1570,319,74698.96,2266907,7,12,1667.0,40,20.2382
51,YT00050,116,5,4,3,360720,20964,1647,794,96700.51,2647925,6,8,689.0,49,23.9961
52,YT00051,248,4,4,5,636374,44004,4246,3049,153476.23,3237625,12,4,17048.0,36,37.5525
53,YT00052,282,3,1,7,483651,55191,7870,3935,41939.02,449501,7,16,15905.0,43,38.6294
54,YT00053,174,4,2,2,492976,17104,2260,334,117911.18,2878700,11,14,1120.0,40,24.0659
55,YT00054,81,4,3,4,643306,34611,3744,2975,145135.06,2487997,12,5,17432.0,40,34.7108
56,YT00055,76,4,4,2,235855,18741,1528,477,17835.83,280885,12,5,5481.0,40,23.3719
57,YT00056,86,3,3,8,587960,38872,1901,708,163290.51,2638660,2,3,13442.0,44,34.1691
58,YT00057,205,2,1,1,478483,26431,3674,1455,112020.53,365008,14,15,12410.0,39,28.2028
59,YT00058,219,1,3,8,434351,32546,3979,2348,66387.85,1082949,14,7,14512.0,44,31.0188
60,YT00059,137,2,3,2,736230,22478,1140,402,55142.97,3315170,2,10,6224.0,40,32.645
61,YT00060,193,4,1,7,359650,39885,3215,2995,59321.4,2108965,6,5,12018.0,43,33.8628
62,YT00061,57,3,2,2,292155,14538,1050,900,78636.76,1512851,10,5,8061.0,40,19.8827
63,YT00062,122,2,3,8,212520,21214,1873,320,43509.32,556930,11,18,6099.0,44,26.409
64,YT00063,233,3,3,6,718319,42726,2625,846,128165.25,3487615,3,17,14916.0,40,37.8973
65,YT00064,129,4,2,8,254744,22562,2892,665,39839.87,1385557,13,3,6890.0,44,26.0738
66,YT00065,24,2,4,8,776440,70376,11199,1846,159267.56,3270429,5,11,5973.0,44,46.6857
67,YT00066,203,4,2,1,674127,17585,3012,1051,188257.32,3536636,10,4,15511.0,39,29.5978
68,YT00067,144,3,1,8,409346,30576,3103,2334,51430.25,863088,6,7,9875.0,44,30.0748
69,YT00068,29,1,2,7,427965,21885,872,1968,115924.09,1159868,4,8,11067.0,43,25.8104
70,YT00069,266,4,2,7,381539,19589,2798,506,29583.12,2718974,5,2,2031.0,43,23.2307
71,YT00070,284,3,4,7,459958,46871,6586,3482,24838.65,3267671,4,5,11843.0,43,37.5681
72,YT00071,238,1,3,4,187926,8727,1248,747,47948.47,1094676,13,2,3161.0,40,15.3949
73,YT00072,156,1,2,4,451224,17563,2082,340,97058.44,3532929,14,6,10742.0,40,23.3094
74,YT00073,212,4,3,4,411670,31989,5693,1829,19101.18,2657532,5,4,7439.0,40,30.4525
75,YT00074,256,3,2,4,681777,54702,7502,2008,132790.39,2928533,11,8,9326.0,40,41.0712
76,YT00075,200,3,4,7,487712,32057,3915,1408,25308.02,1925271,3,11,11343.0,43,30.6207
77,YT00076,168,2,1,5,497003,38363,5726,3451,69945.98,1275314,12,11,11764.0,36,34.2875
78,YT00077,72,4,1,2,496354,47068,3681,781,133645.95,1917166,8,2,11738.0,40,36.4475
79,YT00078,114,3,3,3,313127,18624,2796,688,59438.94,445128,3,4,10031.0,49,22.4193
80,YT00079,134,2,2,8,291296,28950,991,2125,78981.5,963129,2,6,1072.0,44,30.8274
81,YT00080,301,3,4,8,409756,41919,7405,1742,62911.58,18178,8,18,10476.0,44,34.7892
82,YT00081,9,4,3,1,559421,64084,6447,3382,142720.37,3870747,7,14,7836.0,39,41.0487
83,YT00082,46,4,2,8,971187,42720,2088,1593,62826.71,3972078,13,7,14676.0,44,44.7323
84,YT00083,248,3,4,4,442614,40758,3185,2552,45979.12,2909636,11,9,12185.0,40,34.8605
85,YT00084,255,3,2,5,474030,54673,7557,2162,89447.22,3375457,13,4,4701.0,36,37.3621
86,YT00085,288,3,4,6,406802,47144,6102,3261,75824.59,179575,10,18,15591.0,40,35.6157
87,YT00086,147,1,4,8,400645,10214,572,859,44544.56,2151954,1,12,1627.0,44,19.0074
88,YT00087,264,4,3,3,628443,28394,2887,640,48491.08,449830,1,15,12246.0,49,31.5081
89,YT00088,115,3,2,6,380186,32191,2856,1795,35793.53,2059577,10,10,5938.0,40,30.6929
90,YT00089,66,1,2,3,908959,28976,1072,1375,137798.25,2758986,4,12,17643.0,49,39.8625
91,YT00090,264,3,4,6,382812,22554,3489,1984,104970.5,746860,13,17,14628.0,40,25.7592
92,YT00091,194,3,3,2,513617,28454,1483,1496,132864.7,3322699,10,17,101.0,40,29.5669
93,YT00092,99,4,2,1,215835,22872,2832,1490,14588.13,605014,6,4,5522.0,39,27.9229
94,YT00093,221,5,2,5,595176,31612,3680,1690,148022.61,1399087,14,11,10733.0,36,32.2582
95,YT00094,151,3,2,2,221968,10062,1182,796,49098.74,553897,8,13,6082.0,40,16.3979
96,YT00095,223,2,2,6,166282,15749,1399,983,46482.9,67491,9,18,288.0,40,24.6935
97,YT00096,92,4,4,3,610399,45149,6143,2828,73276.89,3147033,14,3,15220.0,49,37.4682
98,YT00097,236,2,4,5,334713,37818,2262,2458,26889.08,1266897,14,10,12665.0,36,32.6486
99,YT00098,193,3,3,6,306381,33604,2459,2060,13258.91,30852,5,10,12988.0,40,31.3935
100,YT00099,41,1,1,7,294914,28814,1314,1402,61644.36,1100400,1,13,5020.0,43,29.9965
101,YT00100,46,2,1,6,249243,20248,2585,1045,22885.23,1295059,14,12,1913.0,41,24.7899
102,YT00101,8,1,3,6,579920,56228,3361,2198,96201.72,918752,2,11,16635.0,41,40.6724
103,YT00102,105,4,4,7,382942,14071,799,1160,20459.26,1906805,4,7,15721.0,44,20.7914
104,YT00103,299,2,1,1,856668,44470,2175,820,37138.42,3276304,7,5,15133.0,40,41.6998
105,YT00104,185,4,3,5,1167232,96027,16657,4632,196263.46,2268246,7,11,16558.0,37,60.5825
106,YT00105,293,1,2,3,906552,68953,6899,1365,118064.64,1955995,3,15,17040.0,50,48.6038
107,YT00106,237,5,1,6,332887,35053,3738,2533,21371.68,3435195,9,10,7706.0,41,32.6441
108,YT00107,244,1,1,3,1113068,31242,5620,1725,115236.44,3719440,3,12,14435.0,50,47.0347
109,YT00108,64,1,3,7,394104,43444,7471,972,62221.04,2081987,6,5,13194.0,44,33.7352
110,YT00109,189,5,3,6,333753,11313,561,1008,75530.64,3679010,14,5,9439.0,41,18.3097
111,YT00110,260,1,1,3,575527,21511,1520,668,90590.96,3631433,14,2,9054.0,50,27.9281
112,YT00111,114,5,4,5,569879,66739,5995,2584,133076.59,838567,2,12,9069.0,37,41.0769
113,YT00112,217,3,4,8,350077,30392,1263,2147,90131.96,1226109,12,5,8288.0,45,30.3055
114,YT00113,258,1,2,4,906431,59274,4915,1568,194414.48,3391791,6,3,14848.0,41,46.5216
115,YT00114,279,2,4,5,693691,47014,3443,3374,75702.51,1671056,5,10,6993.0,37,39.5213
116,YT00115,142,3,3,7,540438,23853,3982,1518,46136.15,3959363,4,18,16089.0,44,28.3298
117,YT00116,280,1,4,3,131312,4480,805,279,7613.21,695479,11,7,110.0,50,10.2699
118,YT00117,42,5,3,7,122674,3993,247,309,33708.0,955276,3,11,1123.0,44,9.7196
119,YT00118,128,4,3,1,200503,12863,1335,1030,53935.15,755712,6,4,4495.0,40,19.7167
120,YT00119,240,4,2,6,442456,13645,529,1160,50876.56,2783078,4,18,5902.0,41,21.8192
121,YT00120,239,2,4,8,307052,33284,3693,799,20474.01,709845,4,7,4964.0,45,30.3892
122,YT00121,78,4,3,5,893634,88972,4836,5502,89479.49,2702505,10,15,13869.0,37,53.9653
123,YT00122,44,5,3,6,371352,10846,1319,641,62418.07,808827,12,10,14767.0,41,18.5081
124,YT00123,277,2,3,7,520718,55234,7312,3180,127491.63,1070986,2,8,16272.0,44,39.5614
125,YT00124,155,1,1,6,573903,33834,2283,1539,155499.18,508797,2,16,15793.0,41,32.5609
126,YT00125,97,1,1,6,356421,39828,2891,2607,59113.01,2486444,2,4,6670.0,41,33.4841
127,YT00126,218,5,1,8,184471,15199,1756,1012,18186.84,348342,9,17,1043.0,45,22.8292
128,YT00127,126,3,2,5,888481,42236,6061,2964,185258.4,3188641,1,18,13952.0,37,42.6551
129,YT00128,215,5,2,7,382602,17263,2448,1417,56460.17,572965,8,15,13801.0,44,22.6219
130,YT00129,74,4,3,5,688984,22349,3455,616,133595.06,2085766,6,5,4166.0,37,31.2789
131,YT00130,139,3,4,1,796893,31121,2259,615,51688.9,1724979,14,10,14706.0,40,36.7611
132,YT00131,61,3,1,2,582230,52007,2135,2501,134776.4,626134,5,9,15894.0,41,39.3616
133,YT00132,161,5,2,8,547612,15301,1945,901,44116.46,1469001,14,14,10584.0,45,25.0784
134,YT00133,194,3,2,3,188858,21531,2560,1195,49241.25,475710,14,5,2417.0,50,26.7315
135,YT00134,217,2,2,6,254423,15437,2255,329,52691.07,3746707,14,6,4738.0,41,20.1535
136,YT00135,135,5,3,7,299358,27377,2991,1592,79158.4,1499951,8,17,6001.0,44,29.0599
137,YT00136,148,2,3,6,686633,61056,3066,1184,163163.41,3588159,1,16,573.0,41,42.6918
138,YT00137,39,4,3,7,103635,12104,414,287,19387.18,26049,7,7,4819.0,44,22.533
139,YT00138,135,5,1,1,980166,82031,13693,5075,171102.08,3546095,7,15,14641.0,40,53.906
140,YT00139,303,3,4,1,497825,28756,2769,2486,28336.72,1468594,11,14,10835.0,40,29.9468
141,YT00140,28,4,3,1,643480,69707,10054,2841,174490.95,2196403,12,11,15197.0,40,43.9048
142,YT00141,256,4,3,1,482278,21523,3195,642,52438.33,1875676,5,10,176.0,40,25.8005
143,YT00142,297,1,1,8,214146,12595,1633,1093,27626.91,677334,5,13,836.0,45,19.1705
144,YT00143,36,4,2,8,406212,30523,4993,1257,26164.87,2321415,14,6,11666.0,45,29.3905
145,YT00144,95,4,4,1,339930,24803,1564,1615,42067.71,2888747,14,7,10053.0,40,26.796
146,YT00145,218,4,1,3,626634,67470,10602,5279,131312.39,2668777,3,2,17088.0,50,44.2531
147,YT00146,155,1,2,4,684988,76857,3528,1774,80578.55,2216085,5,9,13542.0,41,45.0601
148,YT00147,199,4,3,8,311266,10288,1265,171,22924.43,1700066,1,6,2730.0,45,16.6501
149,YT00148,197,2,4,7,308939,9919,1562,469,44578.33,1911558,13,7,12999.0,44,16.6128
150,YT00149,14,1,2,5,815430,76642,3376,2689,130330.78,1966584,12,16,4806.0,37,49.0996
151,YT00150,45,4,4,4,353229,24060,2818,1792,17908.24,1555232,8,2,13638.0,41,26.4228
152,YT00151,181,3,3,2,1645174,159047,8221,4417,98845.5,3714635,1,4,16319.0,41,81.6996
153,YT00152,51,3,3,5,163212,5928,569,411,21180.75,1498574,10,3,3146.0,37,12.0476
154,YT00153,48,2,3,1,292165,29352,2692,1218,55177.64,436306,4,11,4773.0,40,30.2029
155,YT00154,247,2,1,6,603643,63888,11154,5690,100217.29,3823126,6,14,2627.0,41,43.6108
156,YT00155,282,4,1,6,261212,23635,2795,1948,41795.16,1502152,3,11,936.0,41,27.9197
157,YT00156,246,1,3,3,746922,64935,10725,1224,149232.39,1490673,9,10,17906.0,50,44.6144
158,YT00157,199,1,1,5,516874,21079,2289,772,83773.24,2435508,9,7,2902.0,37,26.4151
159,YT00158,6,4,3,7,400024,21084,3155,1795,72600.01,2158398,8,16,1051.0,44,25.0116
160,YT00159,4,4,1,2,632722,17706,937,1059,53934.3,754444,1,6,17594.0,41,28.3986
161,YT00160,138,5,3,1,419660,32243,4112,2344,36753.12,734967,12,5,9532.0,40,30.8735
162,YT00161,202,3,3,4,622510,23338,1993,833,61814.91,1905499,14,13,11310.0,41,29.8194
163,YT00162,116,1,4,8,285037,32810,4670,857,45210.11,1228796,13,15,3145.0,45,29.6356
164,YT00163,60,5,4,8,551943,39894,6245,2513,129015.79,1116461,1,9,4824.0,45,34.8411
165,YT00164,268,5,3,5,650768,75981,8376,1928,131950.86,918339,1,17,8188.0,37,43.8247
166,YT00165,100,1,1,1,703832,77044,8302,1174,111924.39,7937,1,10,15365.0,40,45.5613
167,YT00166,245,1,1,5,228973,20482,1106,1705,30523.23,737128,7,8,3656.0,37,26.459
168,YT00167,50,1,3,2,275230,16434,1497,371,14294.77,1594385,14,11,1401.0,41,20.7821
169,YT00168,172,2,3,6,484513,45385,3365,1188,54125.89,3855550,10,11,13261.0,41,35.9762
170,YT00169,194,4,4,6,299640,14315,2395,932,49521.97,320818,1,6,9037.0,41,19.7833
171,YT00170,155,1,2,2,1086110,116461,12932,4683,235304.35,3488191,4,15,11994.0,41,61.0648
172,YT00171,101,1,3,6,275001,8393,434,746,42211.87,2584048,11,18,8844.0,41,15.2764
173,YT00172,228,5,3,6,143527,15385,1319,1219,18293.82,548847,7,9,943.0,41,25.5129
174,YT00173,272,1,3,1,1785133,68824,5367,2055,278825.53,3647519,1,13,13228.0,40,75.1262
175,YT00174,80,4,1,1,1062418,116768,8769,4605,276514.13,1790360,2,4,17518.0,40,60.1506
176,YT00175,214,1,3,2,955179,112441,15075,2782,201769.46,835539,1,2,17045.0,41,55.6314
177,YT00176,213,1,4,3,383038,36041,2007,2763,23914.25,3820556,6,6,12748.0,50,33.3108
178,YT00177,79,3,4,2,572022,51585,3917,4147,48644.3,910747,1,6,7810.0,41,39.875
179,YT00178,94,2,2,2,459012,47894,4212,1459,59886.54,1549515,12,18,15904.0,41,36.4334
180,YT00179,302,3,1,6,429267,37508,1694,2944,64938.58,1443689,8,17,11230.0,41,33.6738
181,YT00180,179,2,3,1,477909,12224,1355,372,81030.58,1325455,14,16,8687.0,40,21.6827
182,YT00181,61,1,2,4,862992,59677,7932,2934,35762.64,222390,9,11,16366.0,41,46.0042
183,YT00182,172,4,2,4,663829,28809,2731,2472,165903.68,2082053,1,4,5369.0,41,33.2017
184,YT00183,260,3,3,7,644709,43729,2911,3132,130869.1,3444762,5,12,15215.0,44,37.6288
185,YT00184,159,4,4,2,340874,38768,5039,2747,71221.74,872651,11,5,10999.0,41,33.0666
186,YT00185,277,2,4,5,914062,25735,4456,830,127898.49,3242729,11,13,8018.0,37,39.1647
187,YT00186,256,1,3,3,441881,42473,5060,2644,28269.94,3682964,8,11,7550.0,50,35.6932
188,YT00187,302,2,4,1,568830,19117,2407,1627,84136.64,2410485,14,18,14476.0,40,27.3392
189,YT00188,89,3,2,6,345303,35200,1946,2500,15840.4,2654199,11,12,8918.0,41,33.0338
190,YT00189,258,3,3,7,348904,12088,1834,1029,86468.51,3427461,6,14,12837.0,44,19.0301
191,YT00190,216,4,4,6,416792,16565,2078,1451,66437.87,3754595,7,4,6267.0,41,22.8187
192,YT00191,237,2,4,6,356773,26197,3925,2070,33101.01,569726,13,17,17420.0,41,27.8052
193,YT00192,18,3,1,4,355656,15988,2428,451,74203.73,1093793,8,14,1384.0,41,20.9335
194,YT00193,105,1,1,6,344242,13094,974,221,49695.53,1968597,14,6,15129.0,41,18.9506
195,YT00194,42,5,3,7,346171,32334,1132,904,76211.5,362134,10,10,14404.0,44,30.5913
196,YT00195,114,2,4,8,169130,5550,512,293,46581.43,1258034,1,3,827.0,45,11.3797
197,YT00196,142,1,4,6,309492,15803,1552,901,42510.88,2327678,6,7,3975.0,41,20.7734
198,YT00197,286,5,2,2,867485,71516,10310,3279,108803.15,3702813,5,17,3387.0,41,48.9315
199,YT00198,50,2,3,5,495018,39826,1873,1002,112398.61,3467673,7,17,2137.0,37,33.6335
200,YT00199,211,3,2,2,324794,26078,3534,924,52387.82,1300582,14,6,8951.0,41,27.1969
201,YT00200,54,2,4,3,502442,17963,2076,1459,56326.07,975275,4,3,12112.0,50,25.2013
202,YT00201,114,2,4,3,634139,43838,2485,3052,55734.23,1535731,3,11,16344.0,50,37.4676
203,YT00202,168,3,2,1,399092,45660,7950,3004,111246.11,99606,4,3,13235.0,40,35.1941
204,YT00203,287,4,2,2,719474,59815,5398,1207,142304.7,3572504,6,14,7342.0,41,42.7985
205,YT00204,19,5,2,5,415770,47572,6509,1265,77130.86,1057217,14,5,11765.0,37,34.7205
206,YT00205,125,3,2,8,842194,89525,14865,4952,105819.62,418204,1,17,10492.0,45,51.9864
207,YT00206,92,4,4,4,338598,15784,1306,1391,78595.58,2126851,4,2,4677.0,41,21.3137
208,YT00207,130,4,4,7,291092,15250,1315,671,57506.68,1635605,10,16,398.0,44,20.1731
209,YT00208,80,4,1,8,452929,42841,2340,2041,56423.94,3258655,9,12,8412.0,45,35.4465
210,YT00209,124,2,1,2,423416,46464,5453,2715,69767.69,3241751,14,5,12809.0,41,35.8597
211,YT00210,115,4,2,5,489626,30456,4811,873,59344.23,668891,8,15,7881.0,37,29.7137
212,YT00211,265,3,2,4,301073,25027,1670,746,16838.39,1114954,9,2,6330.0,41,26.7512
213,YT00212,167,3,4,1,730832,48920,5398,2064,196005.94,698165,7,9,16769.0,40,40.2862
214,YT00213,42,4,2,6,387039,15493,1149,1342,89580.8,348449,12,13,13361.0,41,21.7171
215,YT00214,95,1,1,6,238921,21355,2895,1161,42984.69,3196741,3,4,2303.0,41,26.1844
216,YT00215,180,3,4,4,486885,29711,1404,527,89874.06,418955,14,6,15422.0,41,29.1961
217,YT00216,99,1,2,1,374977,38461,3060,3152,58737.86,1327290,11,15,7536.0,40,34.4774
218,YT00217,140,4,4,3,431178,11047,505,497,64001.73,1579395,11,7,12552.0,50,19.9703
219,YT00218,128,2,2,5,597605,32778,4351,2918,129589.03,3853496,10,2,4900.0,37,33.2104
220,YT00219,4,4,3,5,684625,64816,8102,1757,96515.21,876862,6,3,13733.0,37,43.9749
221,YT00220,137,3,3,6,316527,9442,1552,694,69281.93,2838685,1,11,8055.0,41,16.6207
222,YT00221,286,4,1,7,462943,21471,2976,1677,46068.66,2312877,14,4,10257.0,44,25.9729
223,YT00222,54,3,4,6,508668,20335,803,1692,110302.61,3447362,12,8,17177.0,41,26.3937
224,YT00223,229,5,1,5,592941,48084,4899,3078,45775.45,2666743,13,8,7286.0,37,38.3554
225,YT00224,98,2,4,7,326270,36316,6387,1844,89747.7,2449999,13,2,11701.0,44,31.8978
226,YT00225,109,2,2,3,456014,51216,6009,4467,37467.64,3264252,6,18,2147.0,50,37.9713
227,YT00226,235,1,1,3,212342,17449,1684,988,41843.98,2396071,4,3,779.0,50,23.6594
228,YT00227,86,3,2,5,339707,33761,4377,2516,42617.27,2954903,12,2,9440.0,37,32.7347
229,YT00228,166,2,1,7,706730,22984,2872,615,184993.22,1013140,3,18,15243.0,44,31.9787
230,YT00229,177,3,1,4,392674,29030,1195,2597,63917.22,923623,13,4,14631.0,41,29.5023
231,YT00230,231,3,3,6,372497,23605,1840,1567,36018.96,486442,12,16,14832.0,41,26.0053
232,YT00231,106,2,4,3,969657,29294,4043,1859,189742.94,1500383,2,8,15005.0,50,41.9868
233,YT00232,9,3,1,6,129296,4600,546,187,26372.09,3456902,5,3,309.0,41,10.3141
234,YT00233,252,4,3,2,265470,22642,1065,1516,31808.82,1479828,12,5,7292.0,41,26.6099
235,YT00234,212,4,4,1,447434,13209,1611,489,99521.27,3237171,5,7,533.0,40,21.3668
236,YT00235,15,4,1,3,535097,59866,5370,4177,131186.75,1472151,10,2,17654.0,50,40.5444
237,YT00236,291,5,3,2,546749,36091,4235,1128,101354.66,111804,9,18,12333.0,41,32.7631
238,YT00237,68,2,2,6,224029,21895,3509,673,30706.84,167351,8,13,5926.0,41,26.8128
239,YT00238,90,2,1,7,139124,14851,740,1315,22135.54,704334,4,10,1727.0,44,25.5816
240,YT00239,247,1,3,3,717135,40356,2836,1594,181390.44,3617682,9,15,15568.0,50,37.4713
241,YT00240,55,4,2,4,508648,41133,2815,3701,38266.29,2169941,7,2,5840.0,41,35.5585
242,YT00241,25,3,4,4,870974,57682,7114,1584,220617.05,1677864,3,12,11662.0,41,45.3339
243,YT00242,181,5,4,6,672451,33993,4734,2631,129585.78,2463670,6,18,10986.0,41,35.0142
244,YT00243,110,1,3,5,918737,66929,8893,4710,43692.31,3875325,11,14,15726.0,37,49.3398
245,YT00244,244,4,3,2,340102,40775,3825,1163,59114.73,1684697,3,13,8353.0,41,31.8768
246,YT00245,222,5,1,2,541878,35360,3138,2153,131838.36,3515469,3,17,12280.0,41,32.9004
247,YT00246,27,3,2,8,875117,48277,5909,2657,172942.73,3026026,3,2,10341.0,45,43.587
248,YT00247,94,2,3,7,257767,15665,542,764,57698.25,900332,13,6,11409.0,44,20.7205
249,YT00248,238,1,4,5,860387,28329,3314,806,40948.08,3617077,4,14,2592.0,37,38.0422
250,YT00249,304,3,2,1,466393,13761,1452,874,94723.36,1276998,11,7,8638.0,40,22.2949
251,YT00250,263,1,1,8,407799,23127,2821,537,78428.13,45115,12,18,9945.0,45,25.3219
252,YT00251,296,3,2,5,521349,40133,4309,2320,132866.34,281768,4,15,12055.0,37,34.5674
253,YT00252,14,3,2,6,229296,23941,4269,490,12279.52,2293006,8,9,2239.0,41,27.2539
254,YT00253,264,1,2,8,727774,59421,4691,2175,90950.36,2423740,3,14,7997.0,45,43.1506
255,YT00254,198,3,3,8,818460,94162,12645,6120,171195.41,1929792,3,14,12836.0,45,51.4643
256,YT00255,216,2,4,6,545809,55240,1901,4376,137679.66,283236,2,10,17130.0,41,41.0132
257,YT00256,45,3,2,1,540895,64586,8147,4893,81380.49,2464376,13,13,10497.0,40,41.0795
258,YT00257,236,2,3,2,562610,67176,6336,2131,86126.93,3929921,10,15,12526.0,41,40.6081
259,YT00258,18,2,1,5,516653,45120,5354,2153,85563.33,1999536,7,7,12923.0,37,36.3849
260,YT00259,56,4,1,7,437354,48287,5993,3278,115371.81,1935446,12,14,10425.0,44,36.6716
261,YT00260,221,5,3,8,367737,19224,1249,891,95298.33,723406,11,4,7705.0,45,23.1559
262,YT00261,7,5,1,2,393236,26618,3942,1165,61768.69,1764452,2,14,3423.0,41,27.3635
263,YT00262,131,4,1,5,345849,40679,2625,1607,34834.24,460110,7,5,9129.0,37,32.4067
264,YT00263,53,4,1,5,385358,15014,2472,827,91172.34,65528,10,12,5104.0,37,21.1078
265,YT00264,155,4,2,3,334096,12934,623,1158,42375.91,1102313,8,4,9166.0,50,19.3979
266,YT00265,232,3,2,3,473555,21329,3209,670,131108.31,553149,4,14,5479.0,50,25.5652
267,YT00266,26,1,1,8,267796,10793,1038,696,71230.2,596044,13,6,6469.0,45,16.9249
268,YT00267,242,2,4,5,885875,78705,11753,4454,140786.47,2502490,6,12,8945.0,37,51.2382
269,YT00268,165,2,3,8,296672,15579,875,347,62238.95,3116822,9,10,5864.0,45,20.1306
270,YT00269,7,3,1,3,616724,16824,1717,517,41800.19,3504829,6,9,11547.0,50,27.4277
