video_id,title,category,subcategory,region,channel_type,published_at,trending_date,views,likes,comments,shares,watch_time_minutes,subscriber_count,days_since_published,tag_count,ad_spend
YT00019,Hip Hop creator video 19: trending ideas,Music,Hip Hop,Canada,Brand,2025-03-09,2025-03-10,781872,66887,11023,2317,120876.79,151913,1,14,9893
YT00020,Walkthrough creator video 20: trending ideas,Gaming,Walkthrough,United States,Media Company,2025-07-19,2025-08-02,387968,33210,2753,1021,87401.31,2347451,14,18,4909
YT00021,Technology creator video 21: trending ideas,Education,Technology,Australia,Media Company,2025-01-04,2025-01-09,168907,4249,487,163,32586.35,422334,5,11,1431
YT00022,Hip Hop creator video 22: trending ideas,Music,Hip Hop,India,Educational,2025-07-28,2025-08-09,188696,6194,519,512,39796.02,1000393,12,2,3025
YT00023,Hip Hop creator video 23: trending ideas,Music,Hip Hop,Australia,Individual,2025-08-08,2025-08-16,1093250,71354,11020,5364,125697.45,3566141,8,18,14693
YT00024,Pop creator video 24: trending ideas,Music,Pop,Australia,Individual,2025-06-20,2025-06-23,677925,48812,3098,775,47022.62,252653,3,10,14290
YT00025,Walkthrough creator video 25: trending ideas,Gaming,Walkthrough,United Kingdom,Media Company,2025-08-18,2025-08-30,567562,16897,2896,788,45660.98,1882888,12,14,11346
YT00026,Science creator video 26: trending ideas,Education,Science,Canada,Individual,2025-07-27,2025-08-08,545214,18915,1399,1239,93939.28,1507916,12,6,17936
YT00027,Comedy creator video 27: trending ideas,Entertainment,Comedy,Australia,Brand,2025-01-11,2025-01-18,693696,51538,8563,3731,53314.98,3652506,7,18,6538
YT00028,Walkthrough creator video 28: trending ideas,Gaming,Walkthrough,Australia,Media Company,2025-04-15,2025-04-28,537560,55171,7816,4626,141209.98,2026994,13,10,10046
YT00029,Science creator video 29: trending ideas,Education,Science,United Kingdom,Brand,2025-01-08,2025-01-15,348257,37478,4870,2982,57357.17,740297,7,17,13475
YT00030,Pop creator video 30: trending ideas,Music,Pop,Canada,Brand,2025-10-25,2025-11-05,544753,55591,7050,2272,50667.48,2601159,11,8,11724
YT00031,Hip Hop creator video 31: trending ideas,Music,Hip Hop,Australia,Brand,2025-10-09,2025-10-12,924671,110837,12916,4092,211527.92,1683006,3,10,16830
YT00032,Walkthrough creator video 32: trending ideas,Gaming,Walkthrough,Australia,Educational,2025-10-06,2025-10-12,178308,4902,622,439,36677.67,6738,6,14,2150
YT00033,Hip Hop creator video 33: trending ideas,Music,Hip Hop,Australia,Educational,2025-06-04,2025-06-07,107537,11641,745,536,14217.64,628400,3,4,907
YT00034,Walkthrough creator video 34: trending ideas,Gaming,Walkthrough,United Kingdom,Educational,2025-01-04,2025-01-09,736974,73062,11922,3452,48943.34,942005,5,15,12744
YT00035,Science creator video 35: trending ideas,Education,Science,Canada,Individual,2025-07-20,2025-07-25,302851,26776,1695,637,24708.92,3053280,5,9,2877
YT00036,Walkthrough creator video 36: trending ideas,Gaming,Walkthrough,United Kingdom,Individual,2025-03-27,2025-03-29,635706,18883,1881,937,140240.29,2395603,2,7,8817
YT00037,Comedy creator video 37: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-07-27,2025-07-28,455121,27807,2955,1830,106716.35,1753915,1,10,2788
YT00038,Walkthrough creator video 38: trending ideas,Gaming,Walkthrough,India,Brand,2025-06-28,2025-07-02,823192,64828,2683,4226,218897.78,3405428,4,5,1537
YT00039,Esports creator video 39: trending ideas,Gaming,Esports,United Kingdom,Brand,2025-09-29,2025-10-01,1326640,91589,5476,7038,141189.86,3975991,2,17,103
YT00040,Esports creator video 40: trending ideas,Gaming,Esports,Australia,Educational,2025-09-03,2025-09-10,462233,39028,2455,1300,105235.04,3308741,7,13,7823
YT00041,Science creator video 41: trending ideas,Education,Science,United Kingdom,Individual,2025-03-26,2025-03-31,558877,20482,2426,644,125548.36,3364687,5,13,1
YT00042,Esports creator video 42: trending ideas,Gaming,Esports,United Kingdom,Individual,2025-08-01,2025-08-06,523512,49286,3816,1523,27781.0,2375188,5,6,2666
YT00043,Esports creator video 43: trending ideas,Gaming,Esports,United Kingdom,Educational,2025-09-29,2025-10-01,364621,30137,2106,1296,44482.91,646532,2,2,7579
YT00044,Technology creator video 44: trending ideas,Education,Technology,United Kingdom,Brand,2025-07-27,2025-07-30,495452,41659,4935,2963,94015.06,3237912,3,3,17393
YT00045,Science creator video 45: trending ideas,Education,Science,India,Media Company,2025-08-30,2025-09-05,315806,22277,2946,1489,16677.42,2045103,6,6,16064
YT00046,Esports creator video 46: trending ideas,Gaming,Esports,Canada,Individual,2025-02-15,2025-02-28,648531,35554,5355,1309,115791.63,3160247,13,7,10962
YT00047,Hip Hop creator video 47: trending ideas,Music,Hip Hop,United Kingdom,Educational,2025-08-09,2025-08-13,398268,25712,2483,1528,83248.87,2121938,4,3,570
YT00048,Film & Animation creator video 48: trending ideas,Entertainment,Film & Animation,India,Educational,2025-02-14,2025-02-20,632797,52715,3662,4630,105693.26,2509898,6,13,6171
YT00049,Esports creator video 49: trending ideas,Gaming,Esports,India,Brand,2025-05-05,2025-05-12,341859,15238,1570,319,74698.96,2266907,7,12,1667
YT00050,Film & Animation creator video 50: trending ideas,Entertainment,Film & Animation,United States,Media Company,2025-04-25,2025-05-01,360720,20964,1647,794,96700.51,2647925,6,8,689
YT00051,Pop creator video 51: trending ideas,Music,Pop,United Kingdom,Media Company,2025-08-29,2025-09-10,636374,44004,4246,3049,153476.23,3237625,12,4,17048
YT00052,Technology creator video 52: trending ideas,Education,Technology,India,Brand,2025-10-07,2025-10-14,483651,55191,7870,3935,41939.02,449501,7,16,15905
YT00053,Esports creator video 53: trending ideas,Gaming,Esports,United Kingdom,Educational,2025-06-17,2025-06-28,492976,17104,2260,334,117911.18,2878700,11,14,1120
YT00054,Hip Hop creator video 54: trending ideas,Music,Hip Hop,United Kingdom,Individual,2025-03-14,2025-03-26,643306,34611,3744,2975,145135.06,2487997,12,5,17432
YT00055,Esports creator video 55: trending ideas,Gaming,Esports,United Kingdom,Media Company,2025-03-09,2025-03-21,235855,18741,1528,477,17835.83,280885,12,5,5481
YT00056,Walkthrough creator video 56: trending ideas,Gaming,Walkthrough,India,Individual,2025-03-29,2025-03-31,587960,38872,1901,708,163290.51,2638660,2,3,13442
YT00057,Comedy creator video 57: trending ideas,Entertainment,Comedy,Canada,Brand,2025-07-15,2025-07-29,478483,26431,3674,1455,112020.53,365008,14,15,12410
YT00058,Walkthrough creator video 58: trending ideas,Gaming,Walkthrough,Australia,Individual,2025-07-29,2025-08-12,434351,32546,3979,2348,66387.85,1082949,14,7,14512
YT00059,Esports creator video 59: trending ideas,Gaming,Esports,Canada,Individual,2025-05-20,2025-05-22,736230,22478,1140,402,55142.97,3315170,2,10,6224
YT00060,Technology creator video 60: trending ideas,Education,Technology,United Kingdom,Brand,2025-07-11,2025-07-17,359650,39885,3215,2995,59321.4,2108965,6,5,12018
YT00061,Esports creator video 61: trending ideas,Gaming,Esports,India,Educational,2025-02-19,2025-03-01,292155,14538,1050,900,78636.76,1512851,10,5,8061
YT00062,Walkthrough creator video 62: trending ideas,Gaming,Walkthrough,Canada,Individual,2025-04-26,2025-05-07,212520,21214,1873,320,43509.32,556930,11,18,6099
YT00063,Science creator video 63: trending ideas,Education,Science,India,Individual,2025-08-23,2025-08-26,718319,42726,2625,846,128165.25,3487615,3,17,14916
YT00064,Walkthrough creator video 64: trending ideas,Gaming,Walkthrough,United Kingdom,Educational,2025-05-01,2025-05-14,254744,22562,2892,665,39839.87,1385557,13,3,6890
YT00065,Walkthrough creator video 65: trending ideas,Gaming,Walkthrough,Canada,Media Company,2025-01-22,2025-01-27,776440,70376,11199,1846,159267.56,3270429,5,11,5973
YT00066,Comedy creator video 66: trending ideas,Entertainment,Comedy,United Kingdom,Educational,2025-07-17,2025-07-27,674127,17585,3012,1051,188257.32,3536636,10,4,15511
YT00067,Walkthrough creator video 67: trending ideas,Gaming,Walkthrough,India,Brand,2025-05-23,2025-05-29,409346,30576,3103,2334,51430.25,863088,6,7,9875
YT00068,Technology creator video 68: trending ideas,Education,Technology,Australia,Educational,2025-01-28,2025-02-01,427965,21885,872,1968,115924.09,1159868,4,8,11067
YT00069,Technology creator video 69: trending ideas,Education,Technology,United Kingdom,Educational,2025-09-23,2025-09-28,381539,19589,2798,506,29583.12,2718974,5,2,2031
YT00070,Technology creator video 70: trending ideas,Education,Technology,India,Media Company,2025-10-12,2025-10-16,459958,46871,6586,3482,24838.65,3267671,4,5,11843
YT00071,Hip Hop creator video 71: trending ideas,Music,Hip Hop,Australia,Individual,2025-08-18,2025-08-31,187926,8727,1248,747,47948.47,1094676,13,2,3161
YT00072,Hip Hop creator video 72: trending ideas,Music,Hip Hop,Australia,Educational,2025-05-27,2025-06-10,451224,17563,2082,340,97058.44,3532929,14,6,10742
YT00073,Hip Hop creator video 73: trending ideas,Music,Hip Hop,United Kingdom,Individual,2025-07-31,2025-08-05,411670,31989,5693,1829,19101.18,2657532,5,4,7439
YT00074,Hip Hop creator video 74: trending ideas,Music,Hip Hop,India,Educational,2025-09-07,2025-09-18,681777,54702,7502,2008,132790.39,2928533,11,8,9326
YT00075,Technology creator video 75: trending ideas,Education,Technology,India,Media Company,2025-07-21,2025-07-24,487712,32057,3915,1408,25308.02,1925271,3,11,11343
YT00076,Pop creator video 76: trending ideas,Music,Pop,Canada,Brand,2025-06-10,2025-06-22,497003,38363,5726,3451,69945.98,1275314,12,11,11764
YT00077,Esports creator video 77: trending ideas,Gaming,Esports,United Kingdom,Brand,2025-03-09,2025-03-17,496354,47068,3681,781,133645.95,1917166,8,2,11738
YT00078,Film & Animation creator video 78: trending ideas,Entertainment,Film & Animation,India,Individual,2025-04-26,2025-04-29,313127,18624,2796,688,59438.94,445128,3,4,10031
YT00079,Walkthrough creator video 79: trending ideas,Gaming,Walkthrough,Canada,Educational,2025-05-17,2025-05-19,291296,28950,991,2125,78981.5,963129,2,6,1072
YT00080,Walkthrough creator video 80: trending ideas,Gaming,Walkthrough,India,Media Company,2025-10-25,2025-11-02,409756,41919,7405,1742,62911.58,18178,8,18,10476
YT00081,Comedy creator video 81: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-01-05,2025-01-12,559421,64084,6447,3382,142720.37,3870747,7,14,7836
YT00082,Walkthrough creator video 82: trending ideas,Gaming,Walkthrough,United Kingdom,Educational,2025-02-05,2025-02-18,971187,42720,2088,1593,62826.71,3972078,13,7,14676
YT00083,Hip Hop creator video 83: trending ideas,Music,Hip Hop,India,Media Company,2025-08-30,2025-09-10,442614,40758,3185,2552,45979.12,2909636,11,9,12185
YT00084,Pop creator video 84: trending ideas,Music,Pop,India,Educational,2025-09-04,2025-09-17,474030,54673,7557,2162,89447.22,3375457,13,4,4701
YT00085,Science creator video 85: trending ideas,Education,Science,India,Media Company,2025-10-10,2025-10-20,406802,47144,6102,3261,75824.59,179575,10,18,15591
YT00086,Walkthrough creator video 86: trending ideas,Gaming,Walkthrough,Australia,Media Company,2025-05-31,2025-06-01,400645,10214,572,859,44544.56,2151954,1,12,1627
YT00087,Film & Animation creator video 87: trending ideas,Entertainment,Film & Animation,United Kingdom,Individual,2025-09-25,2025-09-26,628443,28394,2887,640,48491.08,449830,1,15,12246
YT00088,Science creator video 88: trending ideas,Education,Science,India,Educational,2025-04-20,2025-04-30,380186,32191,2856,1795,35793.53,2059577,10,10,5938
YT00089,Film & Animation creator video 89: trending ideas,Entertainment,Film & Animation,Australia,Educational,2025-03-06,2025-03-10,908959,28976,1072,1375,137798.25,2758986,4,12,17643
YT00090,Science creator video 90: trending ideas,Education,Science,India,Media Company,2025-09-13,2025-09-26,382812,22554,3489,1984,104970.5,746860,13,17,14628
YT00091,Esports creator video 91: trending ideas,Gaming,Esports,India,Individual,2025-07-08,2025-07-18,513617,28454,1483,1496,132864.7,3322699,10,17,101
YT00092,Comedy creator video 92: trending ideas,Entertainment,Comedy,United Kingdom,Educational,2025-04-07,2025-04-13,215835,22872,2832,1490,14588.13,605014,6,4,5522
YT00093,Pop creator video 93: trending ideas,Music,Pop,United States,Educational,2025-07-31,2025-08-14,595176,31612,3680,1690,148022.61,1399087,14,11,10733
YT00094,Esports creator video 94: trending ideas,Gaming,Esports,India,Educational,2025-05-28,2025-06-05,221968,10062,1182,796,49098.74,553897,8,13,6082
YT00095,Science creator video 95: trending ideas,Education,Science,Canada,Educational,2025-08-07,2025-08-16,166282,15749,1399,983,46482.9,67491,9,18,288
YT00096,Film & Animation creator video 96: trending ideas,Entertainment,Film & Animation,United Kingdom,Media Company,2025-03-23,2025-04-06,610399,45149,6143,2828,73276.89,3147033,14,3,15220
YT00097,Pop creator video 97: trending ideas,Music,Pop,Canada,Media Company,2025-08-15,2025-08-29,334713,37818,2262,2458,26889.08,1266897,14,10,12665
YT00098,Science creator video 98: trending ideas,Education,Science,India,Individual,2025-07-12,2025-07-17,306381,33604,2459,2060,13258.91,30852,5,10,12988
YT00099,Technology creator video 99: trending ideas,Education,Technology,Australia,Brand,2025-02-12,2025-02-13,294914,28814,1314,1402,61644.36,1100400,1,13,5020
YT00100,Science creator video 100: trending ideas,Education,Science,Canada,Brand,2025-02-04,2025-02-18,249243,20248,2585,1045,22885.23,1295059,14,12,1913
YT00101,Science creator video 101: trending ideas,Education,Science,Australia,Individual,2025-01-09,2025-01-11,579920,56228,3361,2198,96201.72,918752,2,11,16635
YT00102,Technology creator video 102: trending ideas,Education,Technology,United Kingdom,Media Company,2025-04-15,2025-04-19,382942,14071,799,1160,20459.26,1906805,4,7,15721
YT00103,Comedy creator video 103: trending ideas,Entertainment,Comedy,Canada,Brand,2025-10-24,2025-10-31,856668,44470,2175,820,37138.42,3276304,7,5,15133
YT00104,Pop creator video 104: trending ideas,Music,Pop,United Kingdom,Individual,2025-07-02,2025-07-09,1167232,96027,16657,4632,196263.46,2268246,7,11,16558
YT00105,Film & Animation creator video 105: trending ideas,Entertainment,Film & Animation,Australia,Educational,2025-10-22,2025-10-25,906552,68953,6899,1365,118064.64,1955995,3,15,17040
YT00106,Science creator video 106: trending ideas,Education,Science,United States,Brand,2025-08-21,2025-08-30,332887,35053,3738,2533,21371.68,3435195,9,10,7706
YT00107,Film & Animation creator video 107: trending ideas,Entertainment,Film & Animation,Australia,Brand,2025-09-03,2025-09-06,1113068,31242,5620,1725,115236.44,3719440,3,12,14435
YT00108,Technology creator video 108: trending ideas,Education,Technology,Australia,Individual,2025-03-02,2025-03-08,394104,43444,7471,972,62221.04,2081987,6,5,13194
YT00109,Science creator video 109: trending ideas,Education,Science,United States,Individual,2025-06-29,2025-07-13,333753,11313,561,1008,75530.64,3679010,14,5,9439
YT00110,Film & Animation creator video 110: trending ideas,Entertainment,Film & Animation,Australia,Brand,2025-09-08,2025-09-22,575527,21511,1520,668,90590.96,3631433,14,2,9054
YT00111,Pop creator video 111: trending ideas,Music,Pop,United States,Media Company,2025-04-27,2025-04-29,569879,66739,5995,2584,133076.59,838567,2,12,9069
YT00112,Walkthrough creator video 112: trending ideas,Gaming,Walkthrough,India,Media Company,2025-07-29,2025-08-10,350077,30392,1263,2147,90131.96,1226109,12,5,8288
YT00113,Hip Hop creator video 113: trending ideas,Music,Hip Hop,Australia,Educational,2025-09-14,2025-09-20,906431,59274,4915,1568,194414.48,3391791,6,3,14848
YT00114,Pop creator video 114: trending ideas,Music,Pop,Canada,Media Company,2025-10-06,2025-10-11,693691,47014,3443,3374,75702.51,1671056,5,10,6993
YT00115,Technology creator video 115: trending ideas,Education,Technology,India,Individual,2025-05-23,2025-05-27,540438,23853,3982,1518,46136.15,3959363,4,18,16089
YT00116,Film & Animation creator video 116: trending ideas,Entertainment,Film & Animation,Australia,Media Company,2025-10-01,2025-10-12,131312,4480,805,279,7613.21,695479,11,7,110
YT00117,Technology creator video 117: trending ideas,Education,Technology,United States,Individual,2025-02-11,2025-02-14,122674,3993,247,309,33708.0,955276,3,11,1123
YT00118,Comedy creator video 118: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-05-07,2025-05-13,200503,12863,1335,1030,53935.15,755712,6,4,4495
YT00119,Science creator video 119: trending ideas,Education,Science,United Kingdom,Educational,2025-08-29,2025-09-02,442456,13645,529,1160,50876.56,2783078,4,18,5902
YT00120,Walkthrough creator video 120: trending ideas,Gaming,Walkthrough,Canada,Media Company,2025-08-28,2025-09-01,307052,33284,3693,799,20474.01,709845,4,7,4964
YT00121,Pop creator video 121: trending ideas,Music,Pop,United Kingdom,Individual,2025-03-13,2025-03-23,893634,88972,4836,5502,89479.49,2702505,10,15,13869
YT00122,Science creator video 122: trending ideas,Education,Science,United States,Individual,2025-02-04,2025-02-16,371352,10846,1319,641,62418.07,808827,12,10,14767
YT00123,Technology creator video 123: trending ideas,Education,Technology,Canada,Individual,2025-10-07,2025-10-09,520718,55234,7312,3180,127491.63,1070986,2,8,16272
YT00124,Science creator video 124: trending ideas,Education,Science,Australia,Brand,2025-06-07,2025-06-09,573903,33834,2283,1539,155499.18,508797,2,16,15793
YT00125,Science creator video 125: trending ideas,Education,Science,Australia,Brand,2025-04-09,2025-04-11,356421,39828,2891,2607,59113.01,2486444,2,4,6670
YT00126,Walkthrough creator video 126: trending ideas,Gaming,Walkthrough,United States,Brand,2025-08-02,2025-08-11,184471,15199,1756,1012,18186.84,348342,9,17,1043
YT00127,Pop creator video 127: trending ideas,Music,Pop,India,Educational,2025-05-10,2025-05-11,888481,42236,6061,2964,185258.4,3188641,1,18,13952
YT00128,Technology creator video 128: trending ideas,Education,Technology,United States,Educational,2025-07-31,2025-08-08,382602,17263,2448,1417,56460.17,572965,8,15,13801
YT00129,Pop creator video 129: trending ideas,Music,Pop,United Kingdom,Individual,2025-03-13,2025-03-19,688984,22349,3455,616,133595.06,2085766,6,5,4166
YT00130,Comedy creator video 130: trending ideas,Entertainment,Comedy,India,Media Company,2025-05-10,2025-05-24,796893,31121,2259,615,51688.9,1724979,14,10,14706
YT00131,Esports creator video 131: trending ideas,Gaming,Esports,India,Brand,2025-02-28,2025-03-05,582230,52007,2135,2501,134776.4,626134,5,9,15894
YT00132,Walkthrough creator video 132: trending ideas,Gaming,Walkthrough,United States,Educational,2025-06-01,2025-06-15,547612,15301,1945,901,44116.46,1469001,14,14,10584
YT00133,Film & Animation creator video 133: trending ideas,Entertainment,Film & Animation,India,Educational,2025-07-04,2025-07-18,188858,21531,2560,1195,49241.25,475710,14,5,2417
YT00134,Science creator video 134: trending ideas,Education,Science,Canada,Educational,2025-07-27,2025-08-10,254423,15437,2255,329,52691.07,3746707,14,6,4738
YT00135,Technology creator video 135: trending ideas,Education,Technology,United States,Individual,2025-05-12,2025-05-20,299358,27377,2991,1592,79158.4,1499951,8,17,6001
YT00136,Science creator video 136: trending ideas,Education,Science,Canada,Individual,2025-06-01,2025-06-02,686633,61056,3066,1184,163163.41,3588159,1,16,573
YT00137,Technology creator video 137: trending ideas,Education,Technology,United Kingdom,Individual,2025-02-04,2025-02-11,103635,12104,414,287,19387.18,26049,7,7,4819
YT00138,Comedy creator video 138: trending ideas,Entertainment,Comedy,United States,Brand,2025-05-13,2025-05-20,980166,82031,13693,5075,171102.08,3546095,7,15,14641
YT00139,Comedy creator video 139: trending ideas,Entertainment,Comedy,India,Media Company,2025-10-24,2025-11-04,497825,28756,2769,2486,28336.72,1468594,11,14,10835
YT00140,Comedy creator video 140: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-01-19,2025-01-31,643480,69707,10054,2841,174490.95,2196403,12,11,15197
YT00141,Comedy creator video 141: trending ideas,Entertainment,Comedy,United Kingdom,Individual,2025-09-13,2025-09-18,482278,21523,3195,642,52438.33,1875676,5,10,176
YT00142,Walkthrough creator video 142: trending ideas,Gaming,Walkthrough,Australia,Brand,2025-10-24,2025-10-29,214146,12595,1633,1093,27626.91,677334,5,13,836
YT00143,Walkthrough creator video 143: trending ideas,Gaming,Walkthrough,United Kingdom,Educational,2025-01-25,2025-02-08,406212,30523,4993,1257,26164.87,2321415,14,6,11666
YT00144,Comedy creator video 144: trending ideas,Entertainment,Comedy,United Kingdom,Media Company,2025-03-26,2025-04-09,339930,24803,1564,1615,42067.71,2888747,14,7,10053
YT00145,Film & Animation creator video 145: trending ideas,Entertainment,Film & Animation,United Kingdom,Brand,2025-08-08,2025-08-11,626634,67470,10602,5279,131312.39,2668777,3,2,17088
YT00146,Hip Hop creator video 146: trending ideas,Music,Hip Hop,Australia,Educational,2025-06-04,2025-06-09,684988,76857,3528,1774,80578.55,2216085,5,9,13542
YT00147,Walkthrough creator video 147: trending ideas,Gaming,Walkthrough,United Kingdom,Individual,2025-07-22,2025-07-23,311266,10288,1265,171,22924.43,1700066,1,6,2730
YT00148,Technology creator video 148: trending ideas,Education,Technology,Canada,Media Company,2025-07-08,2025-07-21,308939,9919,1562,469,44578.33,1911558,13,7,12999
YT00149,Pop creator video 149: trending ideas,Music,Pop,Australia,Educational,2025-01-05,2025-01-17,815430,76642,3376,2689,130330.78,1966584,12,16,4806
YT00150,Hip Hop creator video 150: trending ideas,Music,Hip Hop,United Kingdom,Media Company,2025-02-09,2025-02-17,353229,24060,2818,1792,17908.24,1555232,8,2,13638
YT00151,Esports creator video 151: trending ideas,Gaming,Esports,India,Individual,2025-07-04,2025-07-05,1645174,159047,8221,4417,98845.5,3714635,1,4,16319
YT00152,Pop creator video 152: trending ideas,Music,Pop,India,Individual,2025-02-13,2025-02-23,163212,5928,569,411,21180.75,1498574,10,3,3146
YT00153,Comedy creator video 153: trending ideas,Entertainment,Comedy,Canada,Individual,2025-02-16,2025-02-20,292165,29352,2692,1218,55177.64,436306,4,11,4773
YT00154,Science creator video 154: trending ideas,Education,Science,Canada,Brand,2025-09-03,2025-09-09,603643,63888,11154,5690,100217.29,3823126,6,14,2627
YT00155,Science creator video 155: trending ideas,Education,Science,United Kingdom,Brand,2025-10-11,2025-10-14,261212,23635,2795,1948,41795.16,1502152,3,11,936
YT00156,Film & Animation creator video 156: trending ideas,Entertainment,Film & Animation,Australia,Individual,2025-08-30,2025-09-08,746922,64935,10725,1224,149232.39,1490673,9,10,17906
YT00157,Pop creator video 157: trending ideas,Music,Pop,Australia,Brand,2025-07-14,2025-07-23,516874,21079,2289,772,83773.24,2435508,9,7,2902
YT00158,Technology creator video 158: trending ideas,Education,Technology,United Kingdom,Individual,2025-01-01,2025-01-09,400024,21084,3155,1795,72600.01,2158398,8,16,1051
YT00159,Esports creator video 159: trending ideas,Gaming,Esports,United Kingdom,Brand,2025-01-06,2025-01-07,632722,17706,937,1059,53934.3,754444,1,6,17594
YT00160,Comedy creator video 160: trending ideas,Entertainment,Comedy,United States,Individual,2025-05-11,2025-05-23,419660,32243,4112,2344,36753.12,734967,12,5,9532
YT00161,Hip Hop creator video 161: trending ideas,Music,Hip Hop,India,Individual,2025-07-12,2025-07-26,622510,23338,1993,833,61814.91,1905499,14,13,11310
YT00162,Walkthrough creator video 162: trending ideas,Gaming,Walkthrough,Australia,Media Company,2025-04-18,2025-05-01,285037,32810,4670,857,45210.11,1228796,13,15,3145
YT00163,Walkthrough creator video 163: trending ideas,Gaming,Walkthrough,United States,Media Company,2025-03-03,2025-03-04,551943,39894,6245,2513,129015.79,1116461,1,9,4824
YT00164,Pop creator video 164: trending ideas,Music,Pop,United States,Individual,2025-09-29,2025-09-30,650768,75981,8376,1928,131950.86,918339,1,17,8188
YT00165,Comedy creator video 165: trending ideas,Entertainment,Comedy,Australia,Brand,2025-04-13,2025-04-14,703832,77044,8302,1174,111924.39,7937,1,10,15365
YT00166,Pop creator video 166: trending ideas,Music,Pop,Australia,Brand,2025-08-31,2025-09-07,228973,20482,1106,1705,30523.23,737128,7,8,3656
YT00167,Esports creator video 167: trending ideas,Gaming,Esports,Australia,Individual,2025-02-08,2025-02-22,275230,16434,1497,371,14294.77,1594385,14,11,1401
YT00168,Science creator video 168: trending ideas,Education,Science,Canada,Individual,2025-06-16,2025-06-26,484513,45385,3365,1188,54125.89,3855550,10,11,13261
YT00169,Science creator video 169: trending ideas,Education,Science,United Kingdom,Media Company,2025-07-17,2025-07-18,299640,14315,2395,932,49521.97,320818,1,6,9037
YT00170,Esports creator video 170: trending ideas,Gaming,Esports,Australia,Educational,2025-06-05,2025-06-09,1086110,116461,12932,4683,235304.35,3488191,4,15,11994
YT00171,Science creator video 171: trending ideas,Education,Science,Australia,Individual,2025-04-04,2025-04-15,275001,8393,434,746,42211.87,2584048,11,18,8844
YT00172,Science creator video 172: trending ideas,Education,Science,United States,Individual,2025-08-14,2025-08-21,143527,15385,1319,1219,18293.82,548847,7,9,943
